zone,state,distance_km,risk_level,description
Dehradun,Uttarakhand,1365,High,Remote or high-distance area
Chandigarh,Chandigarh,178,Low,Low-risk region
Agra,Uttar Pradesh,839,Moderate,Moderate travel area
Kolkata,West Bengal,1422,High,Remote or high-distance area
Lucknow,Uttar Pradesh,1072,High,Remote or high-distance area
Varanasi,Uttar Pradesh,789,Moderate,Moderate travel area
Amritsar,Punjab,555,Moderate,Moderate travel area
Pune,Maharashtra,111,Low,Low-risk region
Visakhapatnam,Andhra Pradesh,225,Low,Low-risk region
Varanasi,Uttar Pradesh,174,Low,Low-risk region
Chandigarh,Chandigarh,1257,High,Remote or high-distance area
Patna,Bihar,1410,High,Remote or high-distance area
Thiruvananthapuram,Kerala,978,Moderate,Moderate travel area
Jaipur,Rajasthan,908,Moderate,Moderate travel area
Hyderabad,Telangana,131,Low,Low-risk region
Raipur,Chhattisgarh,1328,High,Remote or high-distance area
Raipur,Chhattisgarh,823,Moderate,Moderate travel area
Surat,Gujarat,1494,High,Remote or high-distance area
Manali,Himachal Pradesh,1041,High,Remote or high-distance area
Indore,Madhya Pradesh,1065,High,Remote or high-distance area
Bhopal,Madhya Pradesh,492,Low,Low-risk region
Guwahati,Assam,1014,High,Remote or high-distance area
Jodhpur,Rajasthan,1012,High,Remote or high-distance area
Raipur,Chhattisgarh,1182,High,Remote or high-distance area
Ranchi,Jharkhand,1415,High,Remote or high-distance area
Raipur,Chhattisgarh,1452,High,Remote or high-distance area
Indore,Madhya Pradesh,636,Moderate,Moderate travel area
Patna,Bihar,831,Moderate,Moderate travel area
Kolkata,West Bengal,1335,High,Remote or high-distance area
Bhopal,Madhya Pradesh,559,Moderate,Moderate travel area
Amritsar,Punjab,616,Moderate,Moderate travel area
Guwahati,Assam,996,Moderate,Moderate travel area
Ahmedabad,Gujarat,479,Low,Low-risk region
Pune,Maharashtra,1366,High,Remote or high-distance area
Bengaluru,Karnataka,1235,High,Remote or high-distance area
Bhubaneswar,Odisha,1057,High,Remote or high-distance area
Ranchi,Jharkhand,1163,High,Remote or high-distance area
Agra,Uttar Pradesh,934,Moderate,Moderate travel area
Chandigarh,Chandigarh,362,Low,Low-risk region
Lucknow,Uttar Pradesh,394,Low,Low-risk region
Pune,Maharashtra,1224,High,Remote or high-distance area
Bengaluru,Karnataka,295,Low,Low-risk region
Visakhapatnam,Andhra Pradesh,639,Moderate,Moderate travel area
Guwahati,Assam,936,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,1450,High,Remote or high-distance area
Raipur,Chhattisgarh,1330,High,Remote or high-distance area
Goa,Goa,1035,High,Remote or high-distance area
Raipur,Chhattisgarh,1115,High,Remote or high-distance area
Manali,Himachal Pradesh,620,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,94,Low,Low-risk region
Visakhapatnam,Andhra Pradesh,647,Moderate,Moderate travel area
Surat,Gujarat,402,Low,Low-risk region
Dehradun,Uttarakhand,609,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,1189,High,Remote or high-distance area
Indore,Madhya Pradesh,88,Low,Low-risk region
Visakhapatnam,Andhra Pradesh,714,Moderate,Moderate travel area
Surat,Gujarat,609,Moderate,Moderate travel area
Patna,Bihar,1408,High,Remote or high-distance area
Raipur,Chhattisgarh,352,Low,Low-risk region
Ahmedabad,Gujarat,749,Moderate,Moderate travel area
Mumbai,Maharashtra,69,Low,Low-risk region
Patna,Bihar,1370,High,Remote or high-distance area
Mumbai,Maharashtra,74,Low,Low-risk region
Visakhapatnam,Andhra Pradesh,1254,High,Remote or high-distance area
Guwahati,Assam,1446,High,Remote or high-distance area
New Delhi,Delhi,787,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,704,Moderate,Moderate travel area
Bengaluru,Karnataka,133,Low,Low-risk region
Bhopal,Madhya Pradesh,1364,High,Remote or high-distance area
Ahmedabad,Gujarat,129,Low,Low-risk region
Surat,Gujarat,890,Moderate,Moderate travel area
Ahmedabad,Gujarat,863,Moderate,Moderate travel area
Bengaluru,Karnataka,653,Moderate,Moderate travel area
Surat,Gujarat,83,Low,Low-risk region
Jaipur,Rajasthan,587,Moderate,Moderate travel area
Patna,Bihar,1168,High,Remote or high-distance area
Mumbai,Maharashtra,545,Moderate,Moderate travel area
Agra,Uttar Pradesh,361,Low,Low-risk region
Raipur,Chhattisgarh,1447,High,Remote or high-distance area
New Delhi,Delhi,1153,High,Remote or high-distance area
Goa,Goa,531,Moderate,Moderate travel area
Ranchi,Jharkhand,1216,High,Remote or high-distance area
Jaipur,Rajasthan,1246,High,Remote or high-distance area
Bengaluru,Karnataka,528,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,434,Low,Low-risk region
Ahmedabad,Gujarat,925,Moderate,Moderate travel area
Ranchi,Jharkhand,351,Low,Low-risk region
Varanasi,Uttar Pradesh,990,Moderate,Moderate travel area
Visakhapatnam,Andhra Pradesh,819,Moderate,Moderate travel area
Chennai,Tamil Nadu,905,Moderate,Moderate travel area
Shimla,Himachal Pradesh,1205,High,Remote or high-distance area
Hyderabad,Telangana,677,Moderate,Moderate travel area
Guwahati,Assam,329,Low,Low-risk region
Ahmedabad,Gujarat,1448,High,Remote or high-distance area
Lucknow,Uttar Pradesh,524,Moderate,Moderate travel area
Indore,Madhya Pradesh,1128,High,Remote or high-distance area
Kolkata,West Bengal,609,Moderate,Moderate travel area
Chandigarh,Chandigarh,585,Moderate,Moderate travel area
Ranchi,Jharkhand,1412,High,Remote or high-distance area
Bhubaneswar,Odisha,879,Moderate,Moderate travel area
Chennai,Tamil Nadu,1171,High,Remote or high-distance area
Dehradun,Uttarakhand,191,Low,Low-risk region
Patna,Bihar,302,Low,Low-risk region
Agra,Uttar Pradesh,1011,High,Remote or high-distance area
Manali,Himachal Pradesh,952,Moderate,Moderate travel area
Chandigarh,Chandigarh,728,Moderate,Moderate travel area
Chennai,Tamil Nadu,1155,High,Remote or high-distance area
Goa,Goa,205,Low,Low-risk region
Thiruvananthapuram,Kerala,1378,High,Remote or high-distance area
Kolkata,West Bengal,826,Moderate,Moderate travel area
Amritsar,Punjab,140,Low,Low-risk region
Kolkata,West Bengal,1441,High,Remote or high-distance area
Varanasi,Uttar Pradesh,877,Moderate,Moderate travel area
Agra,Uttar Pradesh,1283,High,Remote or high-distance area
New Delhi,Delhi,1364,High,Remote or high-distance area
Lucknow,Uttar Pradesh,154,Low,Low-risk region
Manali,Himachal Pradesh,112,Low,Low-risk region
Goa,Goa,392,Low,Low-risk region
Lucknow,Uttar Pradesh,196,Low,Low-risk region
Pune,Maharashtra,133,Low,Low-risk region
Guwahati,Assam,669,Moderate,Moderate travel area
Chennai,Tamil Nadu,1005,High,Remote or high-distance area
Jodhpur,Rajasthan,1478,High,Remote or high-distance area
Pune,Maharashtra,641,Moderate,Moderate travel area
Mumbai,Maharashtra,545,Moderate,Moderate travel area
Amritsar,Punjab,515,Moderate,Moderate travel area
Goa,Goa,383,Low,Low-risk region
Dehradun,Uttarakhand,632,Moderate,Moderate travel area
Amritsar,Punjab,1435,High,Remote or high-distance area
Raipur,Chhattisgarh,615,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,1469,High,Remote or high-distance area
Dehradun,Uttarakhand,885,Moderate,Moderate travel area
Shimla,Himachal Pradesh,406,Low,Low-risk region
Goa,Goa,697,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,79,Low,Low-risk region
Bengaluru,Karnataka,1346,High,Remote or high-distance area
Jodhpur,Rajasthan,1166,High,Remote or high-distance area
Manali,Himachal Pradesh,363,Low,Low-risk region
Ranchi,Jharkhand,1431,High,Remote or high-distance area
Ahmedabad,Gujarat,1204,High,Remote or high-distance area
Agra,Uttar Pradesh,54,Low,Low-risk region
New Delhi,Delhi,1042,High,Remote or high-distance area
Kolkata,West Bengal,1408,High,Remote or high-distance area
Visakhapatnam,Andhra Pradesh,908,Moderate,Moderate travel area
Patna,Bihar,1372,High,Remote or high-distance area
Bhopal,Madhya Pradesh,223,Low,Low-risk region
Bengaluru,Karnataka,356,Low,Low-risk region
Chennai,Tamil Nadu,572,Moderate,Moderate travel area
Patna,Bihar,1366,High,Remote or high-distance area
Patna,Bihar,1254,High,Remote or high-distance area
Jaipur,Rajasthan,1230,High,Remote or high-distance area
Kolkata,West Bengal,853,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,1330,High,Remote or high-distance area
Indore,Madhya Pradesh,734,Moderate,Moderate travel area
Chennai,Tamil Nadu,317,Low,Low-risk region
Amritsar,Punjab,1188,High,Remote or high-distance area
Jodhpur,Rajasthan,1456,High,Remote or high-distance area
Goa,Goa,696,Moderate,Moderate travel area
Surat,Gujarat,1292,High,Remote or high-distance area
Chennai,Tamil Nadu,63,Low,Low-risk region
Ahmedabad,Gujarat,1397,High,Remote or high-distance area
Chandigarh,Chandigarh,496,Low,Low-risk region
Kolkata,West Bengal,846,Moderate,Moderate travel area
Mumbai,Maharashtra,371,Low,Low-risk region
New Delhi,Delhi,418,Low,Low-risk region
Dehradun,Uttarakhand,1009,High,Remote or high-distance area
Patna,Bihar,1331,High,Remote or high-distance area
Manali,Himachal Pradesh,836,Moderate,Moderate travel area
New Delhi,Delhi,127,Low,Low-risk region
Manali,Himachal Pradesh,701,Moderate,Moderate travel area
Shimla,Himachal Pradesh,631,Moderate,Moderate travel area
Visakhapatnam,Andhra Pradesh,567,Moderate,Moderate travel area
Shimla,Himachal Pradesh,120,Low,Low-risk region
Ahmedabad,Gujarat,1363,High,Remote or high-distance area
Guwahati,Assam,111,Low,Low-risk region
Patna,Bihar,1255,High,Remote or high-distance area
Lucknow,Uttar Pradesh,1343,High,Remote or high-distance area
Bhubaneswar,Odisha,705,Moderate,Moderate travel area
Hyderabad,Telangana,1461,High,Remote or high-distance area
Jaipur,Rajasthan,439,Low,Low-risk region
Kolkata,West Bengal,589,Moderate,Moderate travel area
Patna,Bihar,170,Low,Low-risk region
Bhopal,Madhya Pradesh,1153,High,Remote or high-distance area
Jodhpur,Rajasthan,317,Low,Low-risk region
Hyderabad,Telangana,357,Low,Low-risk region
Bhubaneswar,Odisha,667,Moderate,Moderate travel area
Agra,Uttar Pradesh,192,Low,Low-risk region
Agra,Uttar Pradesh,338,Low,Low-risk region
Indore,Madhya Pradesh,184,Low,Low-risk region
Jaipur,Rajasthan,789,Moderate,Moderate travel area
Shimla,Himachal Pradesh,862,Moderate,Moderate travel area
Bhubaneswar,Odisha,522,Moderate,Moderate travel area
Kolkata,West Bengal,692,Moderate,Moderate travel area
Pune,Maharashtra,1084,High,Remote or high-distance area
Jodhpur,Rajasthan,1218,High,Remote or high-distance area
Chandigarh,Chandigarh,563,Moderate,Moderate travel area
Visakhapatnam,Andhra Pradesh,1335,High,Remote or high-distance area
Visakhapatnam,Andhra Pradesh,1198,High,Remote or high-distance area
Chandigarh,Chandigarh,919,Moderate,Moderate travel area
Agra,Uttar Pradesh,274,Low,Low-risk region
Pune,Maharashtra,809,Moderate,Moderate travel area
Patna,Bihar,1197,High,Remote or high-distance area
Visakhapatnam,Andhra Pradesh,737,Moderate,Moderate travel area
Chennai,Tamil Nadu,979,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,920,Moderate,Moderate travel area
Hyderabad,Telangana,1054,High,Remote or high-distance area
Varanasi,Uttar Pradesh,1487,High,Remote or high-distance area
Bhopal,Madhya Pradesh,791,Moderate,Moderate travel area
Jodhpur,Rajasthan,505,Moderate,Moderate travel area
Amritsar,Punjab,1149,High,Remote or high-distance area
Amritsar,Punjab,105,Low,Low-risk region
Ahmedabad,Gujarat,123,Low,Low-risk region
Shimla,Himachal Pradesh,294,Low,Low-risk region
Nagpur,Maharashtra,499,Low,Low-risk region
Visakhapatnam,Andhra Pradesh,164,Low,Low-risk region
Manali,Himachal Pradesh,1156,High,Remote or high-distance area
Bhubaneswar,Odisha,541,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,1192,High,Remote or high-distance area
Kolkata,West Bengal,1394,High,Remote or high-distance area
Bhubaneswar,Odisha,943,Moderate,Moderate travel area
Patna,Bihar,1125,High,Remote or high-distance area
Chennai,Tamil Nadu,1324,High,Remote or high-distance area
Shimla,Himachal Pradesh,484,Low,Low-risk region
Patna,Bihar,218,Low,Low-risk region
Chennai,Tamil Nadu,1297,High,Remote or high-distance area
Chandigarh,Chandigarh,1356,High,Remote or high-distance area
Varanasi,Uttar Pradesh,156,Low,Low-risk region
Patna,Bihar,772,Moderate,Moderate travel area
Jodhpur,Rajasthan,593,Moderate,Moderate travel area
Manali,Himachal Pradesh,1031,High,Remote or high-distance area
Kolkata,West Bengal,116,Low,Low-risk region
Chandigarh,Chandigarh,596,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,525,Moderate,Moderate travel area
New Delhi,Delhi,1055,High,Remote or high-distance area
Agra,Uttar Pradesh,1059,High,Remote or high-distance area
Guwahati,Assam,954,Moderate,Moderate travel area
Kolkata,West Bengal,1281,High,Remote or high-distance area
Visakhapatnam,Andhra Pradesh,505,Moderate,Moderate travel area
Ahmedabad,Gujarat,664,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,654,Moderate,Moderate travel area
Ranchi,Jharkhand,909,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,362,Low,Low-risk region
Jodhpur,Rajasthan,618,Moderate,Moderate travel area
Jodhpur,Rajasthan,113,Low,Low-risk region
Mumbai,Maharashtra,627,Moderate,Moderate travel area
Ahmedabad,Gujarat,1201,High,Remote or high-distance area
Lucknow,Uttar Pradesh,422,Low,Low-risk region
Raipur,Chhattisgarh,328,Low,Low-risk region
Guwahati,Assam,1387,High,Remote or high-distance area
Ranchi,Jharkhand,1088,High,Remote or high-distance area
Manali,Himachal Pradesh,738,Moderate,Moderate travel area
Chennai,Tamil Nadu,665,Moderate,Moderate travel area
Bengaluru,Karnataka,187,Low,Low-risk region
Surat,Gujarat,1272,High,Remote or high-distance area
Nagpur,Maharashtra,783,Moderate,Moderate travel area
Indore,Madhya Pradesh,1320,High,Remote or high-distance area
Pune,Maharashtra,545,Moderate,Moderate travel area
New Delhi,Delhi,886,Moderate,Moderate travel area
Ranchi,Jharkhand,523,Moderate,Moderate travel area
Hyderabad,Telangana,1402,High,Remote or high-distance area
Mumbai,Maharashtra,1371,High,Remote or high-distance area
New Delhi,Delhi,742,Moderate,Moderate travel area
Amritsar,Punjab,349,Low,Low-risk region
Visakhapatnam,Andhra Pradesh,1264,High,Remote or high-distance area
Manali,Himachal Pradesh,978,Moderate,Moderate travel area
Manali,Himachal Pradesh,255,Low,Low-risk region
Indore,Madhya Pradesh,143,Low,Low-risk region
Pune,Maharashtra,651,Moderate,Moderate travel area
Chennai,Tamil Nadu,548,Moderate,Moderate travel area
Agra,Uttar Pradesh,197,Low,Low-risk region
Guwahati,Assam,1296,High,Remote or high-distance area
Hyderabad,Telangana,328,Low,Low-risk region
Bhopal,Madhya Pradesh,1354,High,Remote or high-distance area
Shimla,Himachal Pradesh,1307,High,Remote or high-distance area
Varanasi,Uttar Pradesh,154,Low,Low-risk region
Bhopal,Madhya Pradesh,1088,High,Remote or high-distance area
Bhubaneswar,Odisha,1314,High,Remote or high-distance area
Pune,Maharashtra,1145,High,Remote or high-distance area
Raipur,Chhattisgarh,1010,High,Remote or high-distance area
Ahmedabad,Gujarat,915,Moderate,Moderate travel area
Indore,Madhya Pradesh,1191,High,Remote or high-distance area
Goa,Goa,1351,High,Remote or high-distance area
Ranchi,Jharkhand,521,Moderate,Moderate travel area
Bengaluru,Karnataka,393,Low,Low-risk region
Goa,Goa,91,Low,Low-risk region
Goa,Goa,854,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,257,Low,Low-risk region
Agra,Uttar Pradesh,725,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,1400,High,Remote or high-distance area
Bhopal,Madhya Pradesh,1380,High,Remote or high-distance area
Ranchi,Jharkhand,623,Moderate,Moderate travel area
Bengaluru,Karnataka,394,Low,Low-risk region
Ahmedabad,Gujarat,1142,High,Remote or high-distance area
Dehradun,Uttarakhand,846,Moderate,Moderate travel area
New Delhi,Delhi,55,Low,Low-risk region
Chennai,Tamil Nadu,619,Moderate,Moderate travel area
Chandigarh,Chandigarh,558,Moderate,Moderate travel area
Bengaluru,Karnataka,833,Moderate,Moderate travel area
Goa,Goa,1385,High,Remote or high-distance area
Thiruvananthapuram,Kerala,344,Low,Low-risk region
Surat,Gujarat,901,Moderate,Moderate travel area
Manali,Himachal Pradesh,913,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,1092,High,Remote or high-distance area
Manali,Himachal Pradesh,780,Moderate,Moderate travel area
Indore,Madhya Pradesh,508,Moderate,Moderate travel area
Mumbai,Maharashtra,1493,High,Remote or high-distance area
Jodhpur,Rajasthan,251,Low,Low-risk region
Ahmedabad,Gujarat,918,Moderate,Moderate travel area
Bhubaneswar,Odisha,487,Low,Low-risk region
Kolkata,West Bengal,817,Moderate,Moderate travel area
Amritsar,Punjab,159,Low,Low-risk region
Surat,Gujarat,1119,High,Remote or high-distance area
Kolkata,West Bengal,1222,High,Remote or high-distance area
Chandigarh,Chandigarh,208,Low,Low-risk region
Ranchi,Jharkhand,822,Moderate,Moderate travel area
Visakhapatnam,Andhra Pradesh,189,Low,Low-risk region
Agra,Uttar Pradesh,369,Low,Low-risk region
Pune,Maharashtra,1087,High,Remote or high-distance area
Varanasi,Uttar Pradesh,156,Low,Low-risk region
Bhopal,Madhya Pradesh,1096,High,Remote or high-distance area
Indore,Madhya Pradesh,278,Low,Low-risk region
Nagpur,Maharashtra,865,Moderate,Moderate travel area
Visakhapatnam,Andhra Pradesh,791,Moderate,Moderate travel area
Patna,Bihar,1303,High,Remote or high-distance area
Amritsar,Punjab,274,Low,Low-risk region
Dehradun,Uttarakhand,74,Low,Low-risk region
Guwahati,Assam,512,Moderate,Moderate travel area
Hyderabad,Telangana,108,Low,Low-risk region
New Delhi,Delhi,68,Low,Low-risk region
Manali,Himachal Pradesh,281,Low,Low-risk region
Jodhpur,Rajasthan,299,Low,Low-risk region
Thiruvananthapuram,Kerala,692,Moderate,Moderate travel area
Pune,Maharashtra,1206,High,Remote or high-distance area
Amritsar,Punjab,1010,High,Remote or high-distance area
Patna,Bihar,952,Moderate,Moderate travel area
Surat,Gujarat,1013,High,Remote or high-distance area
Chennai,Tamil Nadu,731,Moderate,Moderate travel area
Guwahati,Assam,462,Low,Low-risk region
Lucknow,Uttar Pradesh,342,Low,Low-risk region
Amritsar,Punjab,280,Low,Low-risk region
Kolkata,West Bengal,540,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,830,Moderate,Moderate travel area
Nagpur,Maharashtra,345,Low,Low-risk region
Bhubaneswar,Odisha,1410,High,Remote or high-distance area
Ranchi,Jharkhand,1251,High,Remote or high-distance area
Bhopal,Madhya Pradesh,701,Moderate,Moderate travel area
Visakhapatnam,Andhra Pradesh,262,Low,Low-risk region
Surat,Gujarat,60,Low,Low-risk region
Bengaluru,Karnataka,1421,High,Remote or high-distance area
Ranchi,Jharkhand,1179,High,Remote or high-distance area
Hyderabad,Telangana,1258,High,Remote or high-distance area
Hyderabad,Telangana,1305,High,Remote or high-distance area
Goa,Goa,813,Moderate,Moderate travel area
Guwahati,Assam,276,Low,Low-risk region
Ahmedabad,Gujarat,949,Moderate,Moderate travel area
Mumbai,Maharashtra,241,Low,Low-risk region
New Delhi,Delhi,898,Moderate,Moderate travel area
Amritsar,Punjab,1381,High,Remote or high-distance area
Ahmedabad,Gujarat,999,Moderate,Moderate travel area
Hyderabad,Telangana,126,Low,Low-risk region
New Delhi,Delhi,1241,High,Remote or high-distance area
Goa,Goa,1163,High,Remote or high-distance area
Pune,Maharashtra,892,Moderate,Moderate travel area
Agra,Uttar Pradesh,927,Moderate,Moderate travel area
Mumbai,Maharashtra,188,Low,Low-risk region
Bhopal,Madhya Pradesh,232,Low,Low-risk region
Kolkata,West Bengal,89,Low,Low-risk region
Chennai,Tamil Nadu,889,Moderate,Moderate travel area
Jodhpur,Rajasthan,1208,High,Remote or high-distance area
Guwahati,Assam,910,Moderate,Moderate travel area
Bengaluru,Karnataka,598,Moderate,Moderate travel area
Agra,Uttar Pradesh,1146,High,Remote or high-distance area
Goa,Goa,1317,High,Remote or high-distance area
Chennai,Tamil Nadu,777,Moderate,Moderate travel area
Hyderabad,Telangana,644,Moderate,Moderate travel area
Chennai,Tamil Nadu,736,Moderate,Moderate travel area
Amritsar,Punjab,128,Low,Low-risk region
Bhubaneswar,Odisha,51,Low,Low-risk region
Indore,Madhya Pradesh,1137,High,Remote or high-distance area
Thiruvananthapuram,Kerala,1253,High,Remote or high-distance area
Indore,Madhya Pradesh,1294,High,Remote or high-distance area
Kolkata,West Bengal,761,Moderate,Moderate travel area
Bengaluru,Karnataka,172,Low,Low-risk region
Chandigarh,Chandigarh,521,Moderate,Moderate travel area
Raipur,Chhattisgarh,1437,High,Remote or high-distance area
Chennai,Tamil Nadu,764,Moderate,Moderate travel area
Ranchi,Jharkhand,391,Low,Low-risk region
Nagpur,Maharashtra,77,Low,Low-risk region
Mumbai,Maharashtra,553,Moderate,Moderate travel area
Chennai,Tamil Nadu,936,Moderate,Moderate travel area
Hyderabad,Telangana,873,Moderate,Moderate travel area
New Delhi,Delhi,810,Moderate,Moderate travel area
Hyderabad,Telangana,1018,High,Remote or high-distance area
Hyderabad,Telangana,1012,High,Remote or high-distance area
Lucknow,Uttar Pradesh,492,Low,Low-risk region
Bengaluru,Karnataka,1115,High,Remote or high-distance area
Nagpur,Maharashtra,849,Moderate,Moderate travel area
Ahmedabad,Gujarat,1182,High,Remote or high-distance area
Bhopal,Madhya Pradesh,841,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,359,Low,Low-risk region
Raipur,Chhattisgarh,471,Low,Low-risk region
Nagpur,Maharashtra,927,Moderate,Moderate travel area
Kolkata,West Bengal,722,Moderate,Moderate travel area
Visakhapatnam,Andhra Pradesh,533,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,1041,High,Remote or high-distance area
Bhubaneswar,Odisha,323,Low,Low-risk region
Agra,Uttar Pradesh,1440,High,Remote or high-distance area
Goa,Goa,473,Low,Low-risk region
Agra,Uttar Pradesh,679,Moderate,Moderate travel area
Dehradun,Uttarakhand,439,Low,Low-risk region
Chennai,Tamil Nadu,669,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,1376,High,Remote or high-distance area
Thiruvananthapuram,Kerala,225,Low,Low-risk region
Chennai,Tamil Nadu,1437,High,Remote or high-distance area
Chandigarh,Chandigarh,1445,High,Remote or high-distance area
Manali,Himachal Pradesh,102,Low,Low-risk region
New Delhi,Delhi,745,Moderate,Moderate travel area
Manali,Himachal Pradesh,846,Moderate,Moderate travel area
Amritsar,Punjab,1062,High,Remote or high-distance area
Visakhapatnam,Andhra Pradesh,1317,High,Remote or high-distance area
Manali,Himachal Pradesh,251,Low,Low-risk region
Jodhpur,Rajasthan,304,Low,Low-risk region
Shimla,Himachal Pradesh,906,Moderate,Moderate travel area
Shimla,Himachal Pradesh,1129,High,Remote or high-distance area
Guwahati,Assam,877,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,1478,High,Remote or high-distance area
Ranchi,Jharkhand,421,Low,Low-risk region
Goa,Goa,1247,High,Remote or high-distance area
Kolkata,West Bengal,382,Low,Low-risk region
Hyderabad,Telangana,624,Moderate,Moderate travel area
New Delhi,Delhi,525,Moderate,Moderate travel area
Mumbai,Maharashtra,369,Low,Low-risk region
Manali,Himachal Pradesh,636,Moderate,Moderate travel area
Amritsar,Punjab,1241,High,Remote or high-distance area
Hyderabad,Telangana,1355,High,Remote or high-distance area
Chennai,Tamil Nadu,1332,High,Remote or high-distance area
Surat,Gujarat,1218,High,Remote or high-distance area
Patna,Bihar,1304,High,Remote or high-distance area
Surat,Gujarat,1085,High,Remote or high-distance area
Amritsar,Punjab,1260,High,Remote or high-distance area
Visakhapatnam,Andhra Pradesh,456,Low,Low-risk region
Agra,Uttar Pradesh,1173,High,Remote or high-distance area
Bhubaneswar,Odisha,441,Low,Low-risk region
Nagpur,Maharashtra,96,Low,Low-risk region
Bengaluru,Karnataka,788,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,350,Low,Low-risk region
Bhubaneswar,Odisha,980,Moderate,Moderate travel area
Jodhpur,Rajasthan,637,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,676,Moderate,Moderate travel area
Jaipur,Rajasthan,284,Low,Low-risk region
Visakhapatnam,Andhra Pradesh,444,Low,Low-risk region
Raipur,Chhattisgarh,1374,High,Remote or high-distance area
Manali,Himachal Pradesh,1189,High,Remote or high-distance area
Shimla,Himachal Pradesh,1239,High,Remote or high-distance area
Amritsar,Punjab,1022,High,Remote or high-distance area
